rsize,wsize,timeo,actimeo,acregmin,acregmax,acdirmin,acdirmax,label
262144,32768,30,25,0,60,3,60,0
131072,1048576,100,0,0,60,3,120,1
262144,16384,10,60,5,30,5,30,2
131072,32768,30,25,0,60,3,30,3
1048576,131072,30,5,0,60,0,60,4
65536,1048576,10,60,5,30,0,120,5
524288,1048576,10,120,0,120,3,60,6
524288,524288,100,5,3,60,0,60,7
1048576,131072,30,5,0,60,0,60,8
131072,8192,100,25,3,30,3,30,9
524288,32768,70,25,5,120,3,60,10
262144,262144,10,1,0,120,0,120,11
131072,1048576,10,60,0,30,3,60,12
1048576,1048576,200,120,0,60,0,30,13
131072,4096,200,1,3,30,5,30,14
131072,1048576,100,1,0,30,3,60,15
131072,65536,200,1,5,60,3,120,16
1048576,131072,200,0,0,60,3,30,17
8192,4096,10,25,3,60,0,60,18
16384,1048576,200,1,5,60,0,120,19 
